Prime,Buckets,,,Groupings,Label,groupings
1697,1601 up to 1700,,,26401,26401 up to 26500,
1699,1601 up to 1700,,,26501,26501 up to 26600,
1709,1701 up to 1800,,,26601,26601 up to 26700,
1721,1701 up to 1800,,,26701,26701 up to 26800,
1723,1701 up to 1800,,,26801,26801 up to 26900,
1733,1701 up to 1800,,,26901,26901 up to 27000,
1741,1701 up to 1800,,,27001,27001 up to 27100,
1747,1701 up to 1800,,,27101,27101 up to 27200,
1753,1701 up to 1800,,,27201,27201 up to 27300,
1759,1701 up to 1800,,,27301,27301 up to 27400,
1777,1701 up to 1800,,,27401,27401 up to 27500,
1783,1701 up to 1800,,,27501,27501 up to 27600,
1787,1701 up to 1800,,,27601,27601 up to 27700,
1789,1701 up to 1800,,,27701,27701 up to 27800,
1801,1801 up to 1900,,,27801,27801 up to 27900,
1811,1801 up to 1900,,,27901,27901 up to 28000,
1823,1801 up to 1900,,,28001,28001 up to 28100,
1831,1801 up to 1900,,,28101,28101 up to 28200,
1847,1801 up to 1900,,,28201,28201 up to 28300,
1861,1801 up to 1900,,,28301,28301 up to 28400,
1867,1801 up to 1900,,,28401,28401 up to 28500,
1871,1801 up to 1900,,,28501,28501 up to 28600,
1873,1801 up to 1900,,,28601,28601 up to 28700,
1877,1801 up to 1900,,,28701,28701 up to 28800,
1879,1801 up to 1900,,,28801,28801 up to 28900,
1889,1801 up to 1900,,,28901,28901 up to 29000,
1901,1901 up to 2000,,,29001,29001 up to 29100,
1907,1901 up to 2000,,,29101,29101 up to 29200,
1913,1901 up to 2000,,,29201,29201 up to 29300,
1931,1901 up to 2000,,,29301,29301 up to 29400,
1933,1901 up to 2000,,,29401,29401 up to 29500,
1949,1901 up to 2000,,,29501,29501 up to 29600,
1951,1901 up to 2000,,,29601,29601 up to 29700,
1973,1901 up to 2000,,,29701,29701 up to 29800,
1979,1901 up to 2000,,,29801,29801 up to 29900,
1987,1901 up to 2000,,,29901,29901 up to 30000,
1993,1901 up to 2000,,,30001,30001 up to 30100,
1997,1901 up to 2000,,,30101,30101 up to 30200,
1999,1901 up to 2000,,,30201,30201 up to 30300,
2003,2001 up to 2100,,,30301,30301 up to 30400,
2011,2001 up to 2100,,,30401,30401 up to 30500,
2017,2001 up to 2100,,,30501,30501 up to 30600,
2027,2001 up to 2100,,,30601,30601 up to 30700,
2029,2001 up to 2100,,,30701,30701 up to 30800,
2039,2001 up to 2100,,,30801,30801 up to 30900,
2053,2001 up to 2100,,,30901,30901 up to 31000,
2063,2001 up to 2100,,,31001,31001 up to 31100,
2069,2001 up to 2100,,,31101,31101 up to 31200,
2081,2001 up to 2100,,,31201,31201 up to 31300,
2083,2001 up to 2100,,,31301,31301 up to 31400,
2087,2001 up to 2100,,,31401,31401 up to 31500,
2089,2001 up to 2100,,,31501,31501 up to 31600,
2099,2001 up to 2100,,,31601,31601 up to 31700,
2111,2101 up to 2200,,,31701,31701 up to 31800,
2113,2101 up to 2200,,,31801,31801 up to 31900,
2129,2101 up to 2200,,,31901,31901 up to 32000,
2131,2101 up to 2200,,,32001,32001 up to 32100,
2137,2101 up to 2200,,,32101,32101 up to 32200,
2141,2101 up to 2200,,,32201,32201 up to 32300,
2143,2101 up to 2200,,,32301,32301 up to 32400,
2153,2101 up to 2200,,,32401,32401 up to 32500,
2161,2101 up to 2200,,,32501,32501 up to 32600,
2179,2101 up to 2200,,,32601,32601 up to 32700,
2203,2201 up to 2300,,,32701,32701 up to 32800,
2207,2201 up to 2300,,,32801,32801 up to 32900,
2213,2201 up to 2300,,,32901,32901 up to 33000,
2221,2201 up to 2300,,,33001,33001 up to 33100,
2237,2201 up to 2300,,,33101,33101 up to 33200,
2239,2201 up to 2300,,,33201,33201 up to 33300,
2243,2201 up to 2300,,,33301,33301 up to 33400,
2251,2201 up to 2300,,,33401,33401 up to 33500,
2267,2201 up to 2300,,,33501,33501 up to 33600,
2269,2201 up to 2300,,,33601,33601 up to 33700,
2273,2201 up to 2300,,,33701,33701 up to 33800,
2281,2201 up to 2300,,,33801,33801 up to 33900,
2287,2201 up to 2300,,,33901,33901 up to 34000,
2293,2201 up to 2300,,,34001,34001 up to 34100,
2297,2201 up to 2300,,,34101,34101 up to 34200,
2309,2301 up to 2400,,,34201,34201 up to 34300,
2311,2301 up to 2400,,,34301,34301 up to 34400,
2333,2301 up to 2400,,,34401,34401 up to 34500,
2339,2301 up to 2400,,,34501,34501 up to 34600,
2341,2301 up to 2400,,,34601,34601 up to 34700,
2347,2301 up to 2400,,,34701,34701 up to 34800,
2351,2301 up to 2400,,,34801,34801 up to 34900,
2357,2301 up to 2400,,,34901,34901 up to 35000,
2371,2301 up to 2400,,,35001,35001 up to 35100,
2377,2301 up to 2400,,,35101,35101 up to 35200,
2381,2301 up to 2400,,,35201,35201 up to 35300,
2383,2301 up to 2400,,,35301,35301 up to 35400,
2389,2301 up to 2400,,,35401,35401 up to 35500,
2393,2301 up to 2400,,,35501,35501 up to 35600,
2399,2301 up to 2400,,,35601,35601 up to 35700,
2411,2401 up to 2500,,,35701,35701 up to 35800,
2417,2401 up to 2500,,,35801,35801 up to 35900,
2423,2401 up to 2500,,,35901,35901 up to 36000,
2437,2401 up to 2500,,,36001,36001 up to 36100,
2441,2401 up to 2500,,,36101,36101 up to 36200,
2447,2401 up to 2500,,,36201,36201 up to 36300,
2459,2401 up to 2500,,,36301,36301 up to 36400,
2467,2401 up to 2500,,,36401,36401 up to 36500,
2473,2401 up to 2500,,,36501,36501 up to 36600,
2477,2401 up to 2500,,,36601,36601 up to 36700,
2503,2501 up to 2600,,,36701,36701 up to 36800,
2521,2501 up to 2600,,,36801,36801 up to 36900,
2531,2501 up to 2600,,,36901,36901 up to 37000,
2539,2501 up to 2600,,,37001,37001 up to 37100,
2543,2501 up to 2600,,,37101,37101 up to 37200,
2549,2501 up to 2600,,,37201,37201 up to 37300,
2551,2501 up to 2600,,,37301,37301 up to 37400,
2557,2501 up to 2600,,,37401,37401 up to 37500,
2579,2501 up to 2600,,,37501,37501 up to 37600,
2591,2501 up to 2600,,,37601,37601 up to 37700,
2593,2501 up to 2600,,,37701,37701 up to 37800,
2609,2601 up to 2700,,,37801,37801 up to 37900,
2617,2601 up to 2700,,,37901,37901 up to 38000,
2621,2601 up to 2700,,,38001,38001 up to 38100,
2633,2601 up to 2700,,,38101,38101 up to 38200,
2647,2601 up to 2700,,,38201,38201 up to 38300,
2657,2601 up to 2700,,,38301,38301 up to 38400,
2659,2601 up to 2700,,,38401,38401 up to 38500,
2663,2601 up to 2700,,,38501,38501 up to 38600,
2671,2601 up to 2700,,,38601,38601 up to 38700,
2677,2601 up to 2700,,,38701,38701 up to 38800,
2683,2601 up to 2700,,,38801,38801 up to 38900,
2687,2601 up to 2700,,,38901,38901 up to 39000,
2689,2601 up to 2700,,,39001,39001 up to 39100,
2693,2601 up to 2700,,,39101,39101 up to 39200,
2699,2601 up to 2700,,,39201,39201 up to 39300,
2707,2701 up to 2800,,,39301,39301 up to 39400,
2711,2701 up to 2800,,,39401,39401 up to 39500,
2713,2701 up to 2800,,,39501,39501 up to 39600,
2719,2701 up to 2800,,,39601,39601 up to 39700,
2729,2701 up to 2800,,,39701,39701 up to 39800,
2731,2701 up to 2800,,,39801,39801 up to 39900,
2741,2701 up to 2800,,,39901,39901 up to 40000,
2749,2701 up to 2800,,,40001,40001 up to 40100,
2753,2701 up to 2800,,,40101,40101 up to 40200,
